Coordonnees,Categorie,activities_name
"{""type"":""Point"",""coordinates"":[-4.0523378,5.4273131]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0531343,5.4281942]}",Artisanat,Blanchisserie
"{""type"":""Point"",""coordinates"":[-4.0557823,5.4519964]}",Artisanat,Blanchisserie
"{""type"":""Point"",""coordinates"":[-3.9642875,5.3034653]}",Artisanat,Reparateur De Tele
"{""type"":""Point"",""coordinates"":[-3.9665238,5.304995]}",Artisanat,Calligraphie
"{""type"":""Point"",""coordinates"":[-3.9665352,5.3035227]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-4.0690609,5.441829]}",Artisanat,Reparateur Ventilateur
"{""type"":""Point"",""coordinates"":[-4.0689446,5.4416431]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-3.9636786,5.2999673]}",Artisanat,Fabricant De Parasol
"{""type"":""Point"",""coordinates"":[-4.0587884,5.4504938]}",Artisanat,Fabrique Attieke
"{""type"":""Point"",""coordinates"":[-4.063288,5.4551878]}",Artisanat,Forgeron
"{""type"":""Point"",""coordinates"":[-4.0521721,5.4469059]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0543608,5.4447044]}",Artisanat,Teinturier
"{""type"":""Point"",""coordinates"":[-3.9588956,5.2944763]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-3.9586153,5.2945177]}",Artisanat,Reparateur Frigo
"{""type"":""Point"",""coordinates"":[-4.0599196,5.444145]}",Artisanat,Soudure
"{""type"":""Point"",""coordinates"":[-4.0710005,5.4432652]}",Artisanat,Soudure
"{""type"":""Point"",""coordinates"":[-4.0711551,5.4430246]}",Artisanat,Confection Et Vente De Brique
"{""type"":""Point"",""coordinates"":[-4.060159,5.4441657]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-4.062221,5.4437758]}",Artisanat,Blanchisserie
"{""type"":""Point"",""coordinates"":[-3.9660792,5.3032343]}",Artisanat,Reparateur Frigo
"{""type"":""Point"",""coordinates"":[-4.0688333,5.4520231]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0711306,5.4514691]}",Artisanat,Rebobineur
"{""type"":""Point"",""coordinates"":[-4.0694941,5.4498273]}",Artisanat,Reparateur Gaziniere
"{""type"":""Point"",""coordinates"":[-4.0698492,5.4457424]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-4.0642085,5.4527267]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-3.9642104,5.2999079]}",Artisanat,Soudure
"{""type"":""Point"",""coordinates"":[-4.0529714,5.4508096]}",Artisanat,Fabrication De Marmite
"{""type"":""Point"",""coordinates"":[-4.0660317,5.4481528]}",Artisanat,Fabrication De Marmite
"{""type"":""Point"",""coordinates"":[-4.0732268,5.4408915]}",Artisanat,Fabrication De Marmite
"{""type"":""Point"",""coordinates"":[-4.0508451,5.4474913]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-4.0540651,5.4544395]}",Artisanat,Ferronnerie
"{""type"":""Point"",""coordinates"":[-4.0536721,5.4533381]}",Artisanat,Calligraphie
"{""type"":""Point"",""coordinates"":[-4.0534039,5.4533408]}",Artisanat,Ferrailleur
"{""type"":""Point"",""coordinates"":[-4.0510375,5.4612401]}",Artisanat,Reparateur Refrigerateur
"{""type"":""Point"",""coordinates"":[-4.0525489,5.4614317]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-4.0435045,5.4564825]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-4.0446532,5.4604712]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.026844,5.433393]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0312941,5.4364343]}",Artisanat,Vitrier
"{""type"":""Point"",""coordinates"":[-4.0226393,5.428245]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-4.0511636,5.455852]}",Artisanat,King Rectification
"{""type"":""Point"",""coordinates"":[-4.0428789,5.443141]}",Artisanat,Reparateur Frigo
"{""type"":""Point"",""coordinates"":[-3.9551922,5.2916826]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-3.9580869,5.2891547]}",Artisanat,Fabrication De Savon Kabakourou
"{""type"":""Point"",""coordinates"":[-4.0781017,5.4461342]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-4.0576954,5.442874]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-4.051936,5.4613016]}",Artisanat,Vitrier
"{""type"":""Point"",""coordinates"":[-4.0412658,5.4522134]}",Artisanat,Rebobineur
"{""type"":""Point"",""coordinates"":[-4.044448,5.452999]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0331626,5.4282483]}",Restauration,Garbadromme
"{""type"":""Point"",""coordinates"":[-4.0246908,5.4228398]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9536338,5.291521]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0917135,5.342791]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0047963,5.3393381]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9746786,5.3065183]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9706831,5.3086779]}",Restauration,Garbadromme De Pailler
"{""type"":""Point"",""coordinates"":[-3.9795698,5.3022725]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-3.9786058,5.2866893]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0141944,5.423619]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0575924,5.3237374]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.074737,5.343165]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0121695,5.3749839]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0606995,5.348866]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0767901,5.3552912]}",Restauration,Garbadrome
